Feature,Correlation
CTC_457,0.067915637
CTC_461,0.012673653
CTC_462,-0.013744764
CTC_463,-0.029832184
CTC_464,-0.019296449
CTC_465,-0.009504795
CTC_466,-0.006370032
CTC_467,-0.004003876
CTC_471,-0.028338726
CTC_472,-0.013703441
CTC_473,-0.024169412
CTC_474,-0.031295921
CTC_475,0.019076869
CTC_476,
CTC_477,-0.015565564
CTC_511,0.007237889
CTC_512,-0.059568819
CTC_513,0.05091558
CTC_514,0.04108183
CTC_515,0.015815167
CTC_516,-0.021824453
CTC_517,-0.011925676
CTC_521,-0.015843866
CTC_522,-0.005101518
CTC_523,0.040511052
CTC_524,0.021978227
CTC_525,0.107586807
CTC_526,0.00453668
CTC_527,-0.047317212
CTC_531,0.005497739
CTC_532,-0.007873518
CTC_533,-0.03333289
CTC_534,-0.005487306
CTC_535,-0.022275901
CTC_536,-0.032313819
CTC_537,-0.007678401
CTC_541,0.019803937
CTC_542,-0.059110589
CTC_543,-0.014740228
CTC_544,0.054478141
CTC_545,0.01973783
CTC_546,-0.021317936
CTC_547,-0.037119719
CTC_551,0.031325329
CTC_552,0.150487015
CTC_553,-0.008035761
CTC_554,0.062313674
CTC_555,-0.000340477
CTC_556,-0.038596297
CTC_557,-0.093110843
CTC_561,-0.013643418
CTC_562,0.011619574
CTC_563,0.012888421
CTC_564,0.010405608
CTC_565,-0.004364304
CTC_566,-0.008244758
CTC_567,0.012064776
CTC_571,-0.01670874
CTC_572,0.020404168
CTC_573,-0.0106978
CTC_574,-0.029220253
CTC_575,-0.001214084
CTC_576,-0.003557943
CTC_577,-0.015910305
CTC_611,0.011787043
CTC_612,-0.051369985
CTC_613,0.029917175
CTC_614,0.009700069
CTC_615,-0.006755812
CTC_616,
CTC_617,-0.001209767
CTC_621,-0.006764766
CTC_622,0.012586252
CTC_623,-0.011179633
CTC_624,-0.019165382
CTC_625,0.01497444
CTC_626,-0.001746277
CTC_627,
CTC_631,-0.028034563
CTC_632,0.012374759
CTC_633,-0.012281667
CTC_634,-0.016060409
CTC_635,-0.002861084
CTC_636,
CTC_637,-0.069624305
CTC_641,-0.020831771
CTC_642,0.000705626
CTC_643,-0.024504786
CTC_644,-0.020127777
CTC_645,-0.032650039
CTC_646,0.006857203
CTC_647,
CTC_651,-0.023851421
CTC_652,-0.029822492
CTC_653,0.024651025
CTC_654,-0.017121768
CTC_655,-0.014335396
CTC_656,0.006857203
CTC_657,
CTC_661,
CTC_662,-0.009221456
CTC_663,-0.013571512
CTC_664,
CTC_665,-0.006370032
CTC_666,-0.006370032
CTC_667,
CTC_671,
CTC_672,-0.017170538
CTC_673,-0.0138488
CTC_674,
CTC_675,
CTC_676,
CTC_677,0.084970794
CTC_711,-0.048814415
CTC_712,-0.051778383
